Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Архитектура облачных решений на GCP для медицинской организации,10066.66,101,1309.03
Разработка прошивок и ПО для IoT-устройств с учетом масштабируемости,40252.27,230,20625.34
Оптимизация рабочих потоков для конечных пользователей,6575.09,134,884.24
Приемочное тестирование для конечных пользователей,3096.81,44,433.72
Внедрение CI/CD для финансового сектора,28090.7,49,11102.09
Создание облачной платформы для IoT для крупной корпорации,37945.55,208,17644.68
Миграция данных в SQL базы для конечных пользователей,23632.21,101,6106.18
Создание решений для анализа изображений и видео для внутреннего использования,60143.49,514,15802.05
Внедрение ERP-системы для внутреннего использования,51110.35,490,16693.89
Оптимизация рабочих потоков на основе анализа требований,37412.27,203,18412.49
Построение хранилищ больших данных для медицинской организации,72961.72,327,33503.6
Backend разработка для логистической компании,19559.71,256,3910.89
Создание чат-ботов и систем анализа текста с учетом масштабируемости,21538.61,191,10393.56
Разработка API для интеграции систем в сфере E-commerce,32448.09,205,4846.59
Настройка и оптимизация GCP для логистической компании,4207.63,152,1371.71
Управление облачной инфраструктурой в Azure для финансового сектора,17268.3,181,9442.6
Автоматизация DevOps процессов для внутреннего использования,27562.72,22,11999.63
Разработка sentiment analysis моделей с применением облачных технологий,16533.67,96,1939.31
Построение системы управления проектами на основе анализа требований,21989.61,134,3704.71
Разработка пользовательского интерфейса (UI) для образовательной платформы,4863.26,25,1559.27
Настройка и оптимизация GCP с применением облачных технологий,27757.59,117,10597.61
Разработка решений на основе обработки естественного языка (NLP) для крупной корпорации,50726.46,433,9798.67
Подбор IT-персонала для проекта для внутреннего использования,48005.86,126,5735.72
Разработка IT-стратегии для логистической компании,19939.42,79,7178.5
Настройка автоматизации развертывания в сфере E-commerce,18681.38,140,10471.28
Построение BI-систем и аналитики для финансового сектора,8249.38,38,3009.31
Создание кроссплатформенного приложения (Flutter) для конечных пользователей,45241.15,382,8836.39
Разработка и аудит смарт-контрактов для крупной корпорации,24638.54,277,13292.86
Подбор IT-персонала для проекта для стартапа,17964.6,270,2332.68
Анализ уязвимостей веб-приложений для медицинской организации,6645.92,78,686.25
Базовая IT-поддержка пользователей для финансового сектора,2303.21,9,723.3
Проведение статистического анализа данных для образовательной платформы,21085.22,126,5583.45
Программирование встраиваемых систем для IoT с использованием микросервисной архитектуры,17462.2,170,4007.76
Оценка зрелости IT-инфраструктуры для конечных пользователей,6541.66,68,1787.24
Разработка B2B/B2C E-commerce решения для медицинской организации,99674.88,583,18633.92
Оценка зрелости IT-инфраструктуры для стартапа,7851.78,97,2038.42
Внедрение BPM-систем для малого и среднего бизнеса,17840.49,169,9498.55
Создание iOS приложения под ключ для крупной корпорации,49424.76,236,24343.64
Предоставление выделенной команды разработчиков с применением облачных технологий,23223.97,243,6913.95
Создание нереляционных хранилищ данных в сфере E-commerce,15483.39,97,8016.92
Настройка автоматизации развертывания для крупной корпорации,22972.14,93,10374.73
Аутсорсинг функций IT-менеджмента для стартапа,9347.28,46,4846.58
Развертывание решений по киберзащите для малого и среднего бизнеса,20048.56,137,2596.83
Архитектура облачных решений на GCP для стартапа,34967.34,184,8059.22
Создание решений для анализа изображений и видео в сфере E-commerce,45226.87,425,5989.82
Разработка фронтенда и бэкенда для DApps для конечных пользователей,45017.24,209,17789.48
Создание решений для анализа изображений и видео в сфере E-commerce,82105.63,406,20348.66
Разработка нативного Android приложения для малого и среднего бизнеса,51453.19,263,20139.1
Создание интерактивных приложений на Unity с расширенным функционалом,47116.18,205,22152.37
Аутсорсинг разработки для образовательной платформы,21548.19,77,4493.42
Настройка и оптимизация Azure с фокусом на безопасность,12607.79,39,3702.25
Построение хранилищ больших данных для малого и среднего бизнеса,108102.35,203,16215.36
Создание фулстек решения с расширенным функционалом,9331.39,264,2120.38
Управление облачной инфраструктурой в Azure для конечных пользователей,24531.59,125,13903.8
Проведение аналитики больших данных для конечных пользователей,68172.81,99,7412.99
Разработка API для интеграции систем для образовательной платформы,33977.19,32,3587.5
Архитектура облачных решений на Azure для логистической компании,10870.24,26,1892.13
Разработка и аудит смарт-контрактов в сфере E-commerce,83987.66,251,40531.78
Функциональное тестирование программных продуктов с расширенным функционалом,7168.81,24,3926.29
Разработка децентрализованных приложений (DApps) с использованием микросервисной архитектуры,102642.76,124,49476.3
Создание кроссплатформенного приложения (Flutter) с расширенным функционалом,59534.86,410,18884.53
Разработка высокопроизводительного iOS приложения для логистической компании,59158.89,363,8663.82
Разработка мобильного приложения на React Native для внутреннего использования,27580.31,294,3514.94
Внедрение автоматизированного тестирования ПО с фокусом на безопасность,7944.3,80,1768.91
Внедрение алгоритмов распознавания образов для крупной корпорации,89255.02,463,38525.21
Разработка серверной части веб-приложения с фокусом на безопасность,33187.41,311,5375.47
Создание мультиарендной SaaS платформы для крупной корпорации,24365.23,270,6453.6
Создание мультиарендной SaaS платформы с применением облачных технологий,50771.33,412,24911.42
Разработка моделей классификации и регрессии на основе анализа требований,70274.29,241,19601.88
Frontend разработка с применением облачных технологий,6977.84,175,3747.55
Создание решений для анализа изображений и видео для медицинской организации,76664.37,460,36144.96
Создание интерфейсов взаимодействия с использованием микросервисной архитектуры,22009.27,44,6207.4
Создание интернет-магазина с нуля в сфере E-commerce,47679.57,463,9115.25
Оптимизация IT-процессов в сфере E-commerce,2569.46,36,444.15
Построение BI-систем и аналитики для стартапа,6048.78,96,2555.05
Функциональное тестирование программных продуктов для медицинской организации,2897.93,47,336.82
Управление облачной инфраструктурой в GCP с использованием микросервисной архитектуры,8100.79,175,2691.17
Проектирование UI с учетом масштабируемости,9520.97,42,1543.16
Проектирование и разработка NoSQL баз данных с использованием микросервисной архитектуры,11964.4,38,4660.68
Создание кроссплатформенного приложения (React Native) для крупной корпорации,25093.62,335,7831.62
Разработка веб-приложения полного цикла для финансового сектора,36186.38,353,5869.51
Оказание технической поддержки второй и третьей линии на основе анализа требований,2660.07,19,871.62
Создание чат-ботов и систем анализа текста с учетом масштабируемости,42848.13,134,16701.94
Разработка веб-приложения полного цикла с расширенным функционалом,65476.53,198,13024.1
Разработка высококачественной графики на Unreal Engine с учетом масштабируемости,69783.69,586,10440.32
Консультации по цифровой трансформации для малого и среднего бизнеса,4805.44,106,771.85
Разработка веб-приложения полного цикла для внутреннего использования,12578.07,373,3695.72
Разработка высокопроизводительного Android приложения для логистической компании,40184.74,273,8559.99
Автоматизация регрессионного тестирования с расширенным функционалом,4035.86,65,593.76
Разработка инфраструктуры для Big Data для крупной корпорации,21146.52,534,12518.21
Построение BI-систем и аналитики для стартапа,9527.92,117,4747.84
Разработка облачного SaaS продукта для крупной корпорации,43604.5,649,22248.27
Аудит соответствия стандартам безопасности для образовательной платформы,3950.37,74,739.44
Обслуживание серверов и сетевого оборудования для крупной корпорации,2438.14,41,765.92
Проектирование и разработка SaaS решения с учетом масштабируемости,103279.87,517,22108.64
Проектирование и разработка веб-платформы с применением облачных технологий,55055.64,112,11760.32
Оказание технической поддержки первой линии с фокусом на безопасность,1106.7,10,374.93
Разработка мобильного приложения на Flutter с расширенным функционалом,54386.57,118,19499.35
Разработка маркетплейса с расширенным функционалом,97583.51,205,27094.04
Разработка API для конечных пользователей,13939.93,307,2062.87
Разработка React Native приложения с нуля для конечных пользователей,47023.42,286,8884.27
Консультации по цифровой трансформации с применением облачных технологий,3954.56,20,655.94
Разработка фронтенда и бэкенда для DApps для крупной корпорации,56069.67,133,20570.02
Разработка прошивок и ПО для IoT-устройств с фокусом на безопасность,37759.93,54,5269.71
Настройка и адаптация CRM для отдела продаж для образовательной платформы,47432.71,168,24666.74
Разработка React Native приложения с нуля с расширенным функционалом,18297.95,70,9890.41
Построение DWH и витрин данных для финансового сектора,9989.94,83,1495.87
Настройка и оптимизация GCP для финансового сектора,25166.81,153,9655.49
Автоматизация бизнес-процессов для финансового сектора,23261.18,64,5021.05
Настройка и адаптация CRM для отдела продаж с применением облачных технологий,13159.14,256,6763.17
Разработка серверной части веб-приложения с учетом масштабируемости,30879.96,110,6261.91
Настройка и адаптация корпоративной ERP для малого и среднего бизнеса,78782.4,416,33090.43
Настройка и адаптация корпоративной ERP для внутреннего использования,115094.06,266,50599.62
Экспертная IT-поддержка и решение инцидентов в сфере E-commerce,6649.67,34,2985.56
Оптимизация рабочих потоков для медицинской организации,24659.44,284,6548.74
Проектирование и разработка NoSQL баз данных с расширенным функционалом,5428.65,90,2198.66
Разработка IT-стратегии для финансового сектора,3615.08,78,1420.47
Управление IT-проектами по методологиям Agile/Waterfall в сфере E-commerce,23327.67,61,3885.96
Стратегический IT-консалтинг для образовательной платформы,11685.64,99,5039.31
Подбор IT-персонала для проекта с фокусом на безопасность,10060.72,335,5347.81
Проведение аналитики больших данных для логистической компании,71908.51,201,14768.07
Разработка высококачественной графики на Unreal Engine для логистической компании,49403.6,231,6112.93
Управление облачной инфраструктурой в Azure для логистической компании,9434.57,156,3761.97
Управление облачной инфраструктурой в Azure для крупной корпорации,28853.89,107,4819.32
Операционный IT-консалтинг с применением облачных технологий,1324.67,51,353.68
Разработка мобильного приложения на Flutter для конечных пользователей,66086.82,237,39049.19
Создание дизайна интерфейсов с использованием микросервисной архитектуры,6949.75,21,3740.65
Разработка нативного Android приложения для образовательной платформы,40748.52,345,23184.93
Создание клиентской части веб-приложения для стартапа,23891.52,164,12757.81
Оказание технической поддержки второй и третьей линии для логистической компании,1199.25,11,273.5
Создание решений для анализа изображений и видео для медицинской организации,32860.61,364,14424.45
Создание мультиарендной SaaS платформы на основе анализа требований,30765.51,349,16184.35
Создание Android приложения под ключ для логистической компании,12219.91,225,3186.84
Создание интернет-магазина с нуля для конечных пользователей,75971.98,217,33104.01
Приемочное тестирование для логистической компании,9836.98,52,5457.89
Автоматизация DevOps процессов с учетом масштабируемости,11238.45,61,3176.06
Разработка прошивок и ПО для IoT-устройств с расширенным функционалом,43906.57,303,14571.77
Настройка и оптимизация GCP для медицинской организации,26558.57,32,5766.33
Построение прогнозных моделей с использованием микросервисной архитектуры,34187.8,203,11107.23
Разработка моделей классификации и регрессии с фокусом на безопасность,78757.44,254,33681.51
Консультации по цифровой трансформации для стартапа,9690.87,113,3149.53
Разработка инфраструктуры для Big Data с учетом масштабируемости,17504.83,181,8888.35
Управление облачной инфраструктурой в AWS с использованием микросервисной архитектуры,38929.92,75,20795.21
Архитектура облачных решений на AWS на основе анализа требований,20252.63,30,2843.34
Разработка пользовательского опыта (UX) для финансового сектора,2663.97,90,420.74
Создание фулстек решения для конечных пользователей,10903.43,252,1291.31
Создание Android приложения под ключ с фокусом на безопасность,19946.23,313,3242.84
Базовая IT-поддержка пользователей на основе анализа требований,496.62,12,282.46
Разработка децентрализованных приложений (DApps) для малого и среднего бизнеса,31789.8,427,8188.82
Разработка дашбордов и отчетов с использованием микросервисной архитектуры,11635.38,52,5440.56
Автоматизация DevOps процессов для образовательной платформы,12990.45,83,4304.13
Предоставление команды IT-специалистов для финансового сектора,5137.18,116,2693.69
Разработка децентрализованных приложений (DApps) для медицинской организации,72220.94,268,34818.5
Автоматизация бизнес-процессов с применением облачных технологий,32681.98,250,9480.44
Реинжиниринг бизнес-процессов с расширенным функционалом,6978.15,56,3944.69
Стратегический IT-консалтинг в сфере E-commerce,6411.04,115,3090.22
Разработка масштабируемой E-commerce платформы для финансового сектора,37264.8,256,21912.69
Анализ уязвимостей веб-приложений для медицинской организации,25499.88,142,13872.43
Настройка и оптимизация AWS для образовательной платформы,28913.21,120,8768.14
Разработка пользовательского интерфейса с фокусом на безопасность,5546.74,265,1681.51
Разработка игр на Unity для конечных пользователей,68016.86,499,7971.44
Проведение аудита IT-безопасности для логистической компании,3925.04,34,814.77
Создание Android приложения под ключ для медицинской организации,10070.3,215,2627.66
Проектирование UI с учетом масштабируемости,4950.6,53,2382.59
Разработка пайплайнов обработки данных в сфере E-commerce,38993.74,230,20966.95
Разработка дашбордов и отчетов в сфере E-commerce,12271.19,104,3885.58
Предоставление выделенной команды разработчиков для крупной корпорации,16319.01,66,7018.71
Разработка API для интеграции систем для стартапа,26434.81,31,5235.27
Создание мультиарендной SaaS платформы с применением облачных технологий,23934.19,517,12983.52
Разработка React Native приложения с нуля с применением облачных технологий,45152.88,332,24299.97
Извлечение ценной информации из Big Data с применением облачных технологий,27011.14,431,15911.54
Проектирование и разработка веб-платформы для крупной корпорации,35482.89,157,14207.79
Создание интерактивных приложений на Unity для логистической компании,18767.28,416,10429.24
Проектирование UI для медицинской организации,4049.42,36,874.96
Настройка ETL-процессов для интеграции данных на основе анализа требований,37433.85,222,20404.26
Разработка sentiment analysis моделей с фокусом на безопасность,27531.55,488,8206.14
Управление облачной инфраструктурой в Azure с учетом масштабируемости,11655.02,95,1862.19
Разработка React Native приложения с нуля для крупной корпорации,52014.7,211,5940.16
Тестирование на проникновение с фокусом на безопасность,20063.34,42,2146.03
Разработка систем компьютерного зрения для логистической компании,75675.46,277,23136.72
Разработка мобильного приложения на Flutter с применением облачных технологий,10198.64,303,3907.92
Аутсорсинг функций IT-менеджмента с фокусом на безопасность,11639.45,116,1880.51
Базовая IT-поддержка пользователей с применением облачных технологий,1727.7,7,180.48
Приемочное тестирование для стартапа,3878.19,37,2244.59
Внедрение автоматизированного тестирования ПО для внутреннего использования,15668.77,112,7334.52
Проектирование и разработка NoSQL баз данных для стартапа,24919.89,173,4930.61
Реинжиниринг бизнес-процессов с учетом масштабируемости,4656.57,15,1635.29
Создание ML-решений для предсказаний с учетом масштабируемости,68157.81,241,36495.18
Разработка серверной части для IoT-решений с фокусом на безопасность,26080.36,338,14869.68
Проведение аналитики больших данных с использованием микросервисной архитектуры,43657.34,455,19801.09
Разработка игр на Unreal Engine с учетом масштабируемости,40694.96,526,16036.98
Разработка пайплайнов обработки данных для малого и среднего бизнеса,6465.95,79,1852.95
Разработка инфраструктуры для Big Data для малого и среднего бизнеса,83214.79,72,14294.01
Автоматизация бизнес-процессов с использованием микросервисной архитектуры,13283.76,141,1726.74
Внедрение корпоративной аналитики для медицинской организации,13097.78,63,7557.81
Внедрение автоматизированного тестирования ПО в сфере E-commerce,14778.51,84,1775.56
Разработка решений на основе обработки естественного языка (NLP) для логистической компании,62042.04,174,16860.39
Миграция в GCP в сфере E-commerce,39160.78,43,19492.62
Создание дизайна интерфейсов для образовательной платформы,6773.97,13,3334.32
Экспертная IT-поддержка и решение инцидентов для медицинской организации,6837.0,35,3102.2
Настройка межсетевых экранов и систем обнаружения вторжений для малого и среднего бизнеса,19681.95,171,7949.97
Создание бэкенда для конечных пользователей,26993.62,132,5333.72
Разработка Firmware для микроконтроллеров с расширенным функционалом,19109.09,217,3807.92
Проектирование взаимодействия пользователя с расширенным функционалом,11010.81,54,1681.33
Управление облачной инфраструктурой в GCP с учетом масштабируемости,35204.01,69,20484.33
Базовая IT-поддержка пользователей с фокусом на безопасность,1252.81,6,663.93
Аудит соответствия стандартам безопасности с применением облачных технологий,12605.69,98,4954.29
Разработка фронтенда и бэкенда для DApps для логистической компании,37559.91,238,11452.18
Настройка межсетевых экранов и систем обнаружения вторжений с применением облачных технологий,7335.44,41,1482.35
Разработка высококачественной графики на Unreal Engine для логистической компании,53498.69,83,30477.78
Управление облачной инфраструктурой в Azure с применением облачных технологий,21621.18,158,9123.06
Разработка облачного SaaS продукта с учетом масштабируемости,106729.42,418,45444.03
Миграция в Azure с использованием микросервисной архитектуры,8076.0,170,3477.2
Управление облачной инфраструктурой в Azure для внутреннего использования,19237.28,29,4063.52
Создание конвейеров обработки Big Data для внутреннего использования,49036.52,301,20242.71
Разработка стратегии автоматизации инфраструктуры для медицинской организации,26040.47,73,7511.56
Внедрение CRM-системы с учетом масштабируемости,25110.35,165,6110.35
Управление облачной инфраструктурой в AWS для образовательной платформы,11346.88,135,2897.4
Оценка зрелости IT-инфраструктуры для малого и среднего бизнеса,5800.4,104,1350.86
Создание конвейеров обработки Big Data для финансового сектора,71198.35,102,27057.98
Разработка игр на Unreal Engine для малого и среднего бизнеса,44987.75,198,14820.69
Создание Android приложения под ключ для стартапа,29044.17,66,10139.42
Внедрение корпоративной аналитики с использованием микросервисной архитектуры,14369.2,60,7636.92
Прикладная статистика для бизнеса для крупной корпорации,13771.65,46,7024.42
Создание клиентской части веб-приложения на основе анализа требований,25131.95,157,11995.8
Консультации по цифровой трансформации с применением облачных технологий,14164.61,38,4379.04
Прикладная статистика для бизнеса с фокусом на безопасность,11314.6,44,5075.06
Построение системы управления проектами для конечных пользователей,22497.2,71,3399.7
Прикладная статистика для бизнеса с расширенным функционалом,11562.98,40,1692.94
UX-исследование и проектирование для крупной корпорации,6564.84,43,3422.57
Проектирование UI для образовательной платформы,7286.55,53,2451.81
Функциональное тестирование программных продуктов для финансового сектора,7717.33,35,903.39
Настройка и оптимизация AWS для логистической компании,22562.51,145,3822.94
Разработка децентрализованных приложений (DApps) для финансового сектора,76617.67,193,41353.9
Аутсорсинг функций IT-менеджмента для внутреннего использования,20367.06,144,11856.31
Разработка API для внутреннего использования,33088.93,296,8252.33
Разработка моделей классификации и регрессии в сфере E-commerce,37092.54,274,12810.54
Разработка API для интеграции систем для малого и среднего бизнеса,29534.65,30,12373.51
Разработка B2B/B2C E-commerce решения с фокусом на безопасность,51325.98,401,23892.31
Разработка серверной части веб-приложения для медицинской организации,15833.2,57,3127.36
Извлечение ценной информации из Big Data на основе анализа требований,63471.48,346,11323.05
Разработка API для малого и среднего бизнеса,20061.51,113,10698.75
Разработка децентрализованных приложений (DApps) с применением облачных технологий,18247.81,106,9868.91
Архитектура облачных решений на AWS с фокусом на безопасность,37623.63,91,15455.88
Разработка мобильного приложения на Flutter с учетом масштабируемости,23605.4,65,3737.0
Разработка пользовательского опыта (UX) с использованием микросервисной архитектуры,9253.34,82,5239.13
Настройка и оптимизация GCP для внутреннего использования,22852.11,100,2381.55
Разработка API в сфере E-commerce,24920.37,311,9015.01
Внедрение автоматизированного тестирования ПО для стартапа,7641.33,82,3418.76
Тестирование на проникновение для стартапа,8727.28,78,4048.31
Разработка решений на основе обработки естественного языка (NLP) с использованием микросервисной архитектуры,76345.55,363,19831.42
Разработка игр на Unity для логистической компании,21477.43,484,3015.48
Настройка ETL-процессов для интеграции данных для конечных пользователей,32286.31,62,9494.71
Программирование встраиваемых систем для IoT для внутреннего использования,24936.68,117,9388.04
Разработка React Native приложения с нуля для образовательной платформы,60257.54,256,10976.42
Разработка смарт-контрактов на Solidity для стартапа,64813.82,100,7732.9
Проектирование и разработка SaaS решения на основе анализа требований,44161.44,457,6737.58
Создание бэкенда с расширенным функционалом,20462.45,217,9719.01
Разработка систем компьютерного зрения с применением облачных технологий,67310.33,158,29591.24
Проведение статистического анализа данных с применением облачных технологий,18469.19,65,3747.69
Автоматизация бизнес-процессов для финансового сектора,36816.75,241,8628.16
Внедрение автоматизированного тестирования ПО с использованием микросервисной архитектуры,14681.27,115,3853.06
Разработка мобильного приложения на Flutter для финансового сектора,42091.96,73,17489.02
Создание пользовательских интерфейсов для DApps для логистической компании,112448.16,230,32890.48
Оказание технической поддержки второй и третьей линии для образовательной платформы,6721.27,9,3075.38
Миграция данных в SQL базы для крупной корпорации,19082.41,144,10705.66
Настройка ETL-процессов для интеграции данных с применением облачных технологий,34975.98,93,8528.11
Архитектура облачных решений на GCP для внутреннего использования,38921.83,177,8242.62
