Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Разработка дашбордов и отчетов для медицинской организации,8033.75,107,3470.11
Создание логики децентрализованных приложений на блокчейне для малого и среднего бизнеса,29773.81,206,12743.75
Настройка ETL-процессов для интеграции данных с расширенным функционалом,29712.43,125,6635.66
Разработка 2D/3D игр на Unity с использованием микросервисной архитектуры,34424.85,474,17395.67
Оказание технической поддержки первой линии для конечных пользователей,1340.57,21,250.29
Разработка масштабируемой E-commerce платформы с использованием микросервисной архитектуры,57856.91,522,27979.14
Разработка дашбордов и отчетов в сфере E-commerce,18466.46,25,7309.41
Разработка игр на Unreal Engine для логистической компании,9648.52,275,5383.97
Приемочное тестирование с расширенным функционалом,6732.99,54,2499.36
Проведение пенетрационного тестирования (пентеста) для малого и среднего бизнеса,22416.33,79,4750.66
Создание AAA-проектов на Unreal Engine с применением облачных технологий,43629.47,337,16411.71
Базовая IT-поддержка пользователей для медицинской организации,1752.4,11,874.65
Проектирование и разработка SaaS решения в сфере E-commerce,84367.92,327,16031.03
Экспертная IT-поддержка и решение инцидентов с расширенным функционалом,6776.61,23,3567.38
Проведение аналитики больших данных для стартапа,48371.73,229,21353.81
Создание чат-ботов и систем анализа текста для образовательной платформы,71443.58,134,30761.19
Проведение аудита IT-безопасности для образовательной платформы,15448.11,120,8165.34
Создание чат-ботов и систем анализа текста на основе анализа требований,55110.72,368,24615.92
Разработка мобильного приложения на Flutter для малого и среднего бизнеса,62506.36,314,13661.34
Создание облачной платформы для IoT с применением облачных технологий,41855.75,79,5583.55
Разработка нативного Android приложения для образовательной платформы,55011.92,112,30115.91
Проектирование UI с использованием микросервисной архитектуры,7337.9,52,3311.51
Разработка высокопроизводительного Android приложения для логистической компании,53581.83,368,14197.17
Тестирование на проникновение для логистической компании,30137.27,177,11868.14
Программирование встраиваемых систем для IoT с фокусом на безопасность,21641.47,148,11552.66
Операционный IT-консалтинг для образовательной платформы,5602.86,13,2557.12
Реинжиниринг бизнес-процессов для внутреннего использования,9920.83,27,5154.23
Прикладная статистика для бизнеса с применением облачных технологий,22119.26,58,12553.45
Подбор IT-персонала для проекта с использованием микросервисной архитектуры,41755.47,279,16919.29
Архитектура облачных решений на AWS с применением облачных технологий,10454.74,28,2994.84
Проведение аудита IT-безопасности для финансового сектора,8914.33,102,3379.74
Создание интерфейсов взаимодействия для стартапа,27278.28,123,10676.14
Подбор IT-персонала для проекта с фокусом на безопасность,12976.82,223,2685.17
Операционный IT-консалтинг для конечных пользователей,8366.52,28,2929.64
Операционный IT-консалтинг для финансового сектора,7394.48,26,1008.18
Разработка прошивок и ПО для IoT-устройств для крупной корпорации,34898.23,59,11663.13
Разработка дашбордов и отчетов для стартапа,17120.3,90,9483.01
Проектирование и разработка SaaS решения для медицинской организации,42708.92,506,4974.53
Разработка пользовательского опыта (UX) для логистической компании,2540.04,20,1429.81
Приемочное тестирование для стартапа,2880.35,60,601.86
Внедрение BPM-систем для стартапа,42582.95,162,16865.01
Оптимизация реляционных СУБД для крупной корпорации,18606.73,26,7116.66
Настройка межсетевых экранов и систем обнаружения вторжений для образовательной платформы,13168.66,162,1993.5
Построение прогнозных моделей для медицинской организации,35293.96,255,8213.8
Архитектура облачных решений на Azure на основе анализа требований,17476.73,115,2388.0
Извлечение ценной информации из Big Data для внутреннего использования,19394.16,178,9162.18
Проектирование и разработка NoSQL баз данных с использованием микросервисной архитектуры,22438.59,98,8346.74
Разработка sentiment analysis моделей для образовательной платформы,85309.88,527,44523.99
Создание Android приложения под ключ для конечных пользователей,29830.78,358,17787.71
Приемочное тестирование для логистической компании,2939.13,22,933.83
Предоставление выделенной команды разработчиков для логистической компании,10900.71,263,1305.65
Создание фулстек решения для малого и среднего бизнеса,33670.31,350,4923.53
Миграция в Azure для малого и среднего бизнеса,18809.73,51,9733.0
Извлечение ценной информации из Big Data для внутреннего использования,55589.69,238,32081.14
Разработка sentiment analysis моделей с расширенным функционалом,29455.17,94,12784.15
Проведение аналитики больших данных для внутреннего использования,43944.79,471,13565.05
Архитектура облачных решений на Azure с учетом масштабируемости,10579.58,78,5859.02
Реинжиниринг бизнес-процессов для финансового сектора,8073.82,26,3455.27
Разработка масштабируемой E-commerce платформы для финансового сектора,52270.32,444,20655.16
Создание нереляционных хранилищ данных для внутреннего использования,31264.09,66,10611.12
Архитектура облачных решений на AWS с расширенным функционалом,10721.36,164,1409.0
Оценка уровня защищенности систем на основе анализа требований,20199.39,71,6366.8
Разработка API на основе анализа требований,19417.75,98,2431.73
Разработка высокопроизводительного iOS приложения с использованием микросервисной архитектуры,47625.32,59,15368.28
Разработка децентрализованных приложений (DApps) на основе анализа требований,58912.65,494,7080.64
Миграция в GCP для крупной корпорации,26004.78,152,2634.29
Создание бэкенда на основе анализа требований,6190.93,349,2838.97
Настройка и оптимизация Azure с применением облачных технологий,39103.18,149,18086.91
Создание мультиарендной SaaS платформы для медицинской организации,115370.48,403,49554.68
Оценка уровня защищенности систем для малого и среднего бизнеса,5087.72,44,2324.73
Разработка B2B/B2C E-commerce решения с расширенным функционалом,19616.4,211,4165.42
Интеграция CRM с маркетинговыми инструментами для крупной корпорации,19233.38,78,2098.46
Проведение пенетрационного тестирования (пентеста) с фокусом на безопасность,31898.26,65,17066.21
Разработка API для интеграции систем в сфере E-commerce,23649.59,95,13000.49
Миграция в AWS с учетом масштабируемости,8071.04,28,3881.85
Разработка 2D/3D игр на Unity с учетом масштабируемости,7356.95,475,2391.44
Построение хранилищ больших данных для финансового сектора,40365.44,443,4622.89
Внедрение алгоритмов распознавания образов для логистической компании,43037.88,530,13482.23
Оценка уровня защищенности систем с учетом масштабируемости,22671.34,58,4881.18
Разработка фронтенда и бэкенда для DApps для малого и среднего бизнеса,22884.68,61,9122.73
Проведение аналитики больших данных для крупной корпорации,75554.8,313,27758.82
Fullstack разработка с использованием микросервисной архитектуры,15832.32,306,4440.15
Прикладная статистика для бизнеса с расширенным функционалом,21881.29,54,5698.68
Разработка Flutter приложения с нуля с применением облачных технологий,19569.73,141,5012.65
Оценка зрелости IT-инфраструктуры с расширенным функционалом,16572.53,33,6867.53
Создание интерактивных приложений на Unity с учетом масштабируемости,54177.71,486,27702.66
Настройка ETL-процессов для интеграции данных для крупной корпорации,35179.5,237,10334.78
Разработка серверной части веб-приложения с применением облачных технологий,24498.81,318,12745.32
Создание чат-ботов и систем анализа текста с расширенным функционалом,36469.04,429,14057.43
Создание AAA-проектов на Unreal Engine с фокусом на безопасность,52306.97,121,27408.69
Внедрение комплексных систем безопасности на основе анализа требований,19859.34,110,11496.9
Разработка масштабируемой E-commerce платформы с применением облачных технологий,99490.46,290,33473.76
Настройка и оптимизация GCP для логистической компании,16759.04,147,9249.12
Разработка игр на Unreal Engine на основе анализа требований,51256.76,328,17742.05
Проектирование и реализация RESTful/GraphQL API для конечных пользователей,31618.21,54,11204.06
Настройка и оптимизация AWS с использованием микросервисной архитектуры,37713.19,115,7284.11
Аутсорсинг функций IT-менеджмента для внутреннего использования,22887.67,150,10820.89
Создание фулстек решения для образовательной платформы,23840.24,291,10697.68
Настройка и оптимизация Azure для крупной корпорации,19609.31,34,2637.29
Создание фулстек решения для крупной корпорации,29979.12,119,17917.01
Внедрение 1C:ERP с применением облачных технологий,67015.17,226,31242.04
Миграция в GCP для логистической компании,15294.09,158,5390.0
Разработка React Native приложения с нуля для медицинской организации,24135.47,150,12238.48
Настройка ETL-процессов для интеграции данных с расширенным функционалом,17429.47,193,9085.71
Внедрение алгоритмов распознавания образов для финансового сектора,48026.88,438,10009.55
Внедрение Bitrix24 с использованием микросервисной архитектуры,20865.67,99,6501.95
Разработка высококачественной графики на Unreal Engine в сфере E-commerce,46037.91,467,5927.54
Настройка ETL-процессов для интеграции данных для медицинской организации,12494.21,134,6847.35
Создание облачной платформы для IoT с использованием микросервисной архитектуры,59076.09,129,9043.2
Разработка систем компьютерного зрения с учетом масштабируемости,55389.29,118,10013.23
Разработка моделей классификации и регрессии для финансового сектора,67228.09,109,20820.18
Аутсорсинг разработки для внутреннего использования,49471.44,148,16779.6
Тестирование на проникновение в сфере E-commerce,12703.47,55,4043.61
Оптимизация реляционных СУБД с использованием микросервисной архитектуры,28042.12,39,11995.87
Миграция в GCP для образовательной платформы,19202.41,56,2196.75
Оптимизация IT-процессов для образовательной платформы,3045.29,37,1419.6
Разработка децентрализованных приложений (DApps) для медицинской организации,51728.72,108,27576.78
Настройка и оптимизация AWS для образовательной платформы,12976.87,126,4409.44
Разработка React Native приложения с нуля с расширенным функционалом,43749.55,111,8460.34
Разработка Firmware для микроконтроллеров с применением облачных технологий,41198.31,188,10906.98
Внедрение комплексных систем безопасности для крупной корпорации,4455.44,166,708.04
Разработка API с фокусом на безопасность,35899.73,116,11751.51
Создание интерфейсов взаимодействия для стартапа,6329.79,35,1034.01
Разработка облачного SaaS продукта для образовательной платформы,80214.62,238,32794.26
Проектирование и реализация RESTful/GraphQL API для малого и среднего бизнеса,8938.07,181,3144.34
Проектирование UI для крупной корпорации,6197.11,43,750.44
Создание нереляционных хранилищ данных для крупной корпорации,5617.95,116,2643.97
Внедрение 1C:ERP для внутреннего использования,63737.41,558,29685.8
Прикладная статистика для бизнеса для медицинской организации,19375.06,95,11025.77
Настройка и оптимизация AWS для внутреннего использования,10480.24,90,3029.15
Анализ уязвимостей веб-приложений для внутреннего использования,13823.03,112,5123.08
Разработка высокопроизводительного iOS приложения для медицинской организации,17711.5,362,5443.69
Проведение аналитики больших данных для финансового сектора,34366.32,131,18802.23
Аутсорсинг функций IT-менеджмента для финансового сектора,11003.06,103,5887.02
Тестирование на проникновение с применением облачных технологий,3040.8,54,1771.17
Разработка высокопроизводительного iOS приложения для конечных пользователей,11740.26,298,4657.59
Проведение ручного тестирования ПО с учетом масштабируемости,7714.4,28,2120.12
Разработка смарт-контрактов на Solidity для крупной корпорации,19280.64,194,5085.42
Frontend разработка с использованием микросервисной архитектуры,15689.27,145,6198.87
Построение системы управления проектами на основе анализа требований,12010.49,179,4123.37
Создание iOS приложения под ключ для логистической компании,57556.27,311,29133.76
Извлечение ценной информации из Big Data с применением облачных технологий,39970.68,358,23068.88
Прикладная статистика для бизнеса для медицинской организации,18945.65,34,11208.23
Миграция данных в SQL базы в сфере E-commerce,20767.32,62,11544.35
Аудит соответствия стандартам безопасности для конечных пользователей,21077.18,101,8233.99
Разработка серверной части для IoT-решений для малого и среднего бизнеса,35152.25,204,7510.48
Операционный IT-консалтинг в сфере E-commerce,2146.7,36,763.05
Разработка игр на Unity для логистической компании,38828.08,374,11516.5
Создание интерактивных приложений на Unity с учетом масштабируемости,12277.41,379,3313.88
Интеграция CRM с маркетинговыми инструментами для стартапа,22633.96,150,13055.66
Разработка высококачественной графики на Unreal Engine с расширенным функционалом,57825.32,268,14324.23
Архитектура облачных решений на GCP для стартапа,36474.15,200,6775.21
Миграция в GCP для финансового сектора,31285.2,150,13973.85
Внедрение ERP-системы для логистической компании,123155.16,541,37422.94
Создание облачной платформы для IoT с фокусом на безопасность,32520.51,248,10042.11
Внедрение Bitrix24 в сфере E-commerce,10324.15,259,2622.33
Разработка тестовых сценариев и фреймворков в сфере E-commerce,5686.01,106,2609.39
Приемочное тестирование для медицинской организации,6749.31,43,3380.4
Внедрение комплексных систем безопасности для медицинской организации,11901.11,135,6363.31
Разработка бэкенда для управления IoT-устройствами для медицинской организации,45392.55,129,6626.41
Внедрение алгоритмов распознавания образов для внутреннего использования,51515.02,234,26194.78
Архитектура облачных решений на AWS с расширенным функционалом,39105.09,135,11150.45
Разработка sentiment analysis моделей с расширенным функционалом,72910.04,370,24468.2
Проектирование и разработка веб-платформы для крупной корпорации,42646.01,282,7461.48
Создание AAA-проектов на Unreal Engine для малого и среднего бизнеса,62652.7,150,9872.11
Разработка пользовательского опыта (UX) для внутреннего использования,2506.37,39,1047.02
Разработка игр на Unreal Engine для крупной корпорации,75986.18,521,36804.41
Создание кроссплатформенного приложения (React Native) с расширенным функционалом,24167.81,152,9621.5
Оказание технической поддержки первой линии с фокусом на безопасность,862.6,13,296.41
Автоматизация бизнес-процессов на основе анализа требований,14934.66,72,4569.67
Разработка серверной части для IoT-решений с учетом масштабируемости,29420.69,197,16553.92
Проведение статистического анализа данных с фокусом на безопасность,10511.59,123,5962.84
Построение DWH и витрин данных для малого и среднего бизнеса,11485.78,85,1721.68
Разработка React Native приложения с нуля на основе анализа требований,18024.62,310,4497.13
Реинжиниринг бизнес-процессов с расширенным функционалом,6554.87,36,876.71
Архитектура облачных решений на AWS с расширенным функционалом,16508.95,131,8746.65
Автоматизация DevOps процессов для финансового сектора,6037.2,20,922.24
Обслуживание серверов и сетевого оборудования с использованием микросервисной архитектуры,6033.02,7,1401.85
Оптимизация рабочих потоков для медицинской организации,30958.29,148,16480.14
Программирование встраиваемых систем для IoT для стартапа,42457.6,82,9613.5
Аутсорсинг разработки для внутреннего использования,46825.85,76,5399.04
Оказание технической поддержки второй и третьей линии для малого и среднего бизнеса,7917.68,18,2618.2
Тестирование на проникновение на основе анализа требований,22711.83,79,9776.64
Разработка и аудит смарт-контрактов на основе анализа требований,84110.01,366,9521.18
Построение системы управления проектами в сфере E-commerce,21921.21,87,11930.91
Создание конвейеров обработки Big Data для финансового сектора,92793.35,600,12402.53
Разработка нативного iOS приложения для малого и среднего бизнеса,58073.53,337,27859.17
Обслуживание серверов и сетевого оборудования для логистической компании,2541.2,20,1423.89
Создание конвейеров обработки Big Data с использованием микросервисной архитектуры,94565.84,125,23077.79
Построение системы управления проектами для внутреннего использования,8964.89,50,3028.83
Внедрение комплексных систем безопасности для финансового сектора,27574.31,187,16168.37
Разработка React Native приложения с нуля для финансового сектора,44493.67,60,5659.46
Разработка маркетплейса с фокусом на безопасность,87092.72,513,32576.55
Разработка фронтенда и бэкенда для DApps в сфере E-commerce,113138.36,493,17497.09
Проектирование и разработка NoSQL баз данных для медицинской организации,10454.24,141,1962.25
Управление облачной инфраструктурой в AWS с расширенным функционалом,9161.21,59,5045.44
Управление IT-проектами по методологиям Agile/Waterfall для конечных пользователей,9044.58,46,2217.04
Разработка серверной части веб-приложения для малого и среднего бизнеса,31306.63,297,17412.67
Разработка мобильного приложения на Flutter с учетом масштабируемости,41868.78,245,8282.87
Создание кроссплатформенного приложения (Flutter) с учетом масштабируемости,67862.01,406,35665.16
Внедрение корпоративной аналитики с применением облачных технологий,6268.64,111,876.23
Настройка ETL-процессов для интеграции данных для финансового сектора,23482.89,180,12680.31
Построение DWH и витрин данных для финансового сектора,28070.87,112,14199.73
Разработка высококачественной графики на Unreal Engine для стартапа,71288.18,489,26648.01
Разработка высококачественной графики на Unreal Engine для внутреннего использования,67133.5,245,33865.73
Внедрение AmoCRM с фокусом на безопасность,13402.31,110,2091.1
Создание пользовательских интерфейсов для DApps для внутреннего использования,49817.44,251,8186.09
Миграция в GCP с использованием микросервисной архитектуры,4967.26,60,1208.53
Прикладная статистика для бизнеса для внутреннего использования,6272.48,40,2090.81
Проектирование и разработка NoSQL баз данных с фокусом на безопасность,27343.46,156,13452.82
Создание iOS приложения под ключ на основе анализа требований,19313.82,256,3357.88
Проектирование и разработка SaaS решения с учетом масштабируемости,35909.35,598,3682.71
Создание интернет-магазина с нуля для конечных пользователей,95147.73,455,15981.81
Оказание технической поддержки второй и третьей линии для образовательной платформы,6445.88,22,970.98
Оценка уровня защищенности систем с применением облачных технологий,11491.78,122,1585.2
Настройка и адаптация корпоративной ERP для крупной корпорации,103114.54,431,23479.02
Создание решений для анализа изображений и видео с расширенным функционалом,15341.55,72,1846.36
Внедрение корпоративной аналитики для финансового сектора,12109.49,61,6864.92
Настройка и оптимизация Azure с расширенным функционалом,26625.54,146,5951.76
Разработка дашбордов и отчетов для логистической компании,6887.29,104,3998.71
Оптимизация IT-процессов с использованием микросервисной архитектуры,1208.35,46,673.19
Разработка веб-приложения полного цикла с расширенным функционалом,62346.0,128,33262.1
Разработка веб-приложения полного цикла для конечных пользователей,10817.29,174,4062.65
Разработка высокопроизводительного iOS приложения с расширенным функционалом,47273.41,316,11547.08
Разработка серверной части для IoT-решений для логистической компании,44929.82,52,16569.39
Автоматизация регрессионного тестирования в сфере E-commerce,7375.13,64,1263.89
Создание ML-решений для предсказаний с фокусом на безопасность,72829.84,386,36555.72
Построение системы управления проектами в сфере E-commerce,16523.91,152,3248.5
Проектирование взаимодействия пользователя для малого и среднего бизнеса,5108.9,53,691.0
Разработка серверной части для IoT-решений для малого и среднего бизнеса,27316.6,260,10942.09
Разработка и аудит смарт-контрактов с расширенным функционалом,67266.34,377,32962.18
Архитектура облачных решений на AWS для образовательной платформы,16892.06,74,8732.98
Автоматизация регрессионного тестирования для логистической компании,10113.62,93,4656.39
Создание кроссплатформенного приложения (React Native) для конечных пользователей,28216.73,152,7960.17
Построение DWH и витрин данных для логистической компании,6613.78,43,3897.38
Оказание технической поддержки первой линии для медицинской организации,2714.89,9,668.09
Создание логики децентрализованных приложений на блокчейне с использованием микросервисной архитектуры,48503.82,189,12969.7
Анализ уязвимостей веб-приложений с учетом масштабируемости,21134.91,177,10117.66
Разработка моделей классификации и регрессии для логистической компании,17168.51,125,4769.99
UX-исследование и проектирование для логистической компании,14411.62,41,3373.65
Fullstack разработка для логистической компании,69089.94,351,20844.99
Управление облачной инфраструктурой в GCP с расширенным функционалом,4032.33,51,586.65
Разработка серверной части для IoT-решений с применением облачных технологий,27674.89,127,5236.67
Интеграция CRM с маркетинговыми инструментами для образовательной платформы,8129.07,195,2096.27
Создание пользовательских интерфейсов для DApps для логистической компании,73626.78,395,39945.98
Разработка Firmware для микроконтроллеров для логистической компании,15203.86,279,7130.89
Настройка межсетевых экранов и систем обнаружения вторжений с использованием микросервисной архитектуры,8109.83,88,2517.62
Оценка уровня защищенности систем для образовательной платформы,14091.59,30,7115.27
Создание фулстек решения в сфере E-commerce,19364.06,360,8448.54
Проектирование и разработка SaaS решения для медицинской организации,66895.23,363,26728.65
Разработка серверной части веб-приложения на основе анализа требований,25505.56,102,8129.98
Обслуживание серверов и сетевого оборудования для логистической компании,1454.55,23,665.74
Разработка прошивок и ПО для IoT-устройств для стартапа,43471.45,330,17238.75
Экспертная IT-поддержка и решение инцидентов на основе анализа требований,6009.12,9,3313.66
Стратегический IT-консалтинг с фокусом на безопасность,5889.22,97,3444.45
Проектирование и разработка SQL баз данных с учетом масштабируемости,13359.01,144,2995.6
Оценка зрелости IT-инфраструктуры с фокусом на безопасность,2152.24,36,319.34
Оказание технической поддержки второй и третьей линии для внутреннего использования,4935.7,42,764.62
Внедрение Salesforce для медицинской организации,17511.51,99,8510.45
Разработка высокопроизводительного iOS приложения для стартапа,13691.24,254,4546.79
Управление IT-проектами по методологиям Agile/Waterfall для стартапа,23432.39,63,11660.79
Оптимизация рабочих потоков на основе анализа требований,13521.34,270,6752.5
Внедрение BPM-систем для финансового сектора,29106.14,285,12207.31
Разработка масштабируемой E-commerce платформы для финансового сектора,95584.86,334,44984.72
Разработка нативного iOS приложения для малого и среднего бизнеса,18144.81,81,3113.01
Разработка решений на основе обработки естественного языка (NLP) для финансового сектора,89117.48,522,32107.37
Создание клиентской части веб-приложения для логистической компании,28526.98,136,12438.14
Fullstack разработка для образовательной платформы,25402.75,65,4848.89
Создание AAA-проектов на Unreal Engine для внутреннего использования,53346.2,308,12910.96
