Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Разработка высокопроизводительного iOS приложения для стартапа,63932.67,316,21498.59
Разработка мобильного приложения на Flutter с фокусом на безопасность,15153.67,99,2753.31
Разработка мобильного приложения на Flutter для конечных пользователей,18346.03,151,8949.19
Проектирование взаимодействия пользователя с расширенным функционалом,14722.8,21,5661.36
Создание кроссплатформенного приложения (React Native) в сфере E-commerce,46361.41,107,19569.68
Настройка межсетевых экранов и систем обнаружения вторжений для образовательной платформы,5199.34,120,2611.25
Настройка и оптимизация GCP для медицинской организации,13781.92,183,2495.93
Разработка систем компьютерного зрения с применением облачных технологий,60183.73,316,25514.94
Разработка Firmware для микроконтроллеров с фокусом на безопасность,40795.44,210,24294.07
Внедрение SAP S/4HANA для медицинской организации,125114.0,216,62849.57
Разработка высокопроизводительного iOS приложения для логистической компании,45845.49,310,4863.05
Fullstack разработка с использованием микросервисной архитектуры,58296.81,276,19770.23
Создание решений для анализа изображений и видео для внутреннего использования,21936.64,399,12705.39
Создание кроссплатформенного приложения (Flutter) с фокусом на безопасность,47091.51,411,13633.56
Разработка веб-приложения полного цикла для конечных пользователей,12049.06,268,6225.26
Извлечение ценной информации из Big Data для стартапа,31391.2,358,11476.76
Разработка Firmware для микроконтроллеров с учетом масштабируемости,19616.04,170,10572.49
Разработка моделей классификации и регрессии в сфере E-commerce,10169.36,422,4959.37
Разработка и аудит смарт-контрактов с фокусом на безопасность,43660.35,79,6721.5
Разработка мобильного приложения на React Native с расширенным функционалом,43082.24,304,24613.64
Разработка Firmware для микроконтроллеров для медицинской организации,13074.99,68,4154.48
Создание ML-решений для предсказаний с фокусом на безопасность,30759.84,64,5453.58
Внедрение AmoCRM для финансового сектора,36582.89,49,15151.13
Извлечение ценной информации из Big Data на основе анализа требований,61867.43,324,35828.94
Разработка прошивок и ПО для IoT-устройств для образовательной платформы,28995.32,347,6634.78
Масштабирование NoSQL баз данных с фокусом на безопасность,13837.34,118,3000.63
Проведение статистического анализа данных для финансового сектора,5565.91,57,2349.62
Экспертная IT-поддержка и решение инцидентов для финансового сектора,5145.38,38,1485.04
Разработка фронтенда и бэкенда для DApps с учетом масштабируемости,53703.02,265,24027.47
Разработка API для интеграции систем для медицинской организации,28303.31,42,8741.59
Создание интерфейсов взаимодействия для внутреннего использования,9229.91,119,1494.21
Разработка тестовых сценариев и фреймворков в сфере E-commerce,12736.47,102,7369.49
Создание ML-решений для предсказаний для медицинской организации,44853.34,361,13989.38
Создание интернет-магазина с нуля для медицинской организации,51884.1,162,12038.86
Внедрение корпоративной аналитики с использованием микросервисной архитектуры,3330.56,60,523.7
Внедрение Bitrix24 для внутреннего использования,28612.6,135,4255.03
Разработка Firmware для микроконтроллеров с фокусом на безопасность,13392.35,73,4193.51
Операционный IT-консалтинг для образовательной платформы,2257.81,10,1338.48
Проектирование и реализация RESTful/GraphQL API для медицинской организации,17847.24,38,5186.39
Разработка систем компьютерного зрения для внутреннего использования,16269.64,463,5837.22
Оптимизация IT-процессов в сфере E-commerce,9520.99,23,1880.49
Построение хранилищ больших данных с учетом масштабируемости,58002.18,147,14726.67
Миграция в AWS с использованием микросервисной архитектуры,31018.49,29,15513.79
Создание клиентской части веб-приложения на основе анализа требований,21507.51,117,6932.89
Разработка высокопроизводительного iOS приложения для стартапа,15012.21,150,4032.22
Разработка серверной части для IoT-решений для образовательной платформы,8962.58,108,2420.6
Создание AAA-проектов на Unreal Engine для финансового сектора,70024.84,313,24984.96
Создание клиентской части веб-приложения для образовательной платформы,16559.77,105,1797.17
Программирование встраиваемых систем для IoT для медицинской организации,36311.17,108,12982.1
Разработка систем компьютерного зрения с расширенным функционалом,57458.31,82,14475.42
Разработка аналитических моделей для Big Data с расширенным функционалом,57042.07,312,13532.99
Создание Android приложения под ключ для внутреннего использования,47354.08,261,12276.7
Экспертная IT-поддержка и решение инцидентов для крупной корпорации,2662.99,9,1447.5
Настройка и оптимизация AWS на основе анализа требований,33799.17,164,13808.37
Разработка IT-стратегии с учетом масштабируемости,6546.73,69,3540.49
Тестирование на проникновение с учетом масштабируемости,16235.27,179,6425.18
Проведение аналитики больших данных в сфере E-commerce,16703.02,210,3929.14
Разработка нативного Android приложения с фокусом на безопасность,9077.08,283,5442.47
Создание облачной платформы для IoT для стартапа,9323.58,255,2255.34
Проведение ручного тестирования ПО с фокусом на безопасность,3756.68,22,1379.36
Настройка и оптимизация AWS для финансового сектора,18246.14,165,5627.55
Масштабирование NoSQL баз данных для образовательной платформы,10237.93,145,3503.36
Создание iOS приложения под ключ с фокусом на безопасность,28463.05,350,7094.48
Внедрение Salesforce для внутреннего использования,28994.2,257,4652.61
Проектирование UI для стартапа,9336.57,15,4386.75
Создание AAA-проектов на Unreal Engine для логистической компании,16437.19,189,5859.29
Разработка прошивок и ПО для IoT-устройств для медицинской организации,40048.99,102,8621.86
Разработка серверной части веб-приложения с учетом масштабируемости,27882.11,137,6724.66
Проектирование и разработка SaaS решения для крупной корпорации,108462.34,171,45023.83
Fullstack разработка с применением облачных технологий,57413.33,339,30081.46
Проведение статистического анализа данных для медицинской организации,16749.69,127,2489.86
Управление облачной инфраструктурой в AWS с применением облачных технологий,9269.59,152,3752.15
Внедрение автоматизированного тестирования ПО для малого и среднего бизнеса,14077.3,25,3950.45
Развертывание решений по киберзащите для финансового сектора,26888.13,155,15003.13
Создание пользовательских интерфейсов для DApps для малого и среднего бизнеса,33934.09,184,16808.54
Создание бэкенда для крупной корпорации,16651.56,301,6788.76
Внедрение ERP-системы для образовательной платформы,87118.94,283,24617.07
Функциональное тестирование программных продуктов для финансового сектора,2116.27,11,424.78
Предоставление команды IT-специалистов для внутреннего использования,15552.25,200,8968.57
Оказание технической поддержки первой линии с использованием микросервисной архитектуры,736.82,19,274.44
Аудит соответствия стандартам безопасности с учетом масштабируемости,24778.99,58,13041.73
Создание интернет-магазина с нуля для финансового сектора,40289.34,101,11723.61
Проведение аналитики больших данных для малого и среднего бизнеса,32756.5,280,14522.65
Создание пользовательских интерфейсов для DApps для логистической компании,44549.52,203,19272.66
Разработка React Native приложения с нуля для крупной корпорации,41158.98,338,22126.8
Внедрение корпоративной аналитики для образовательной платформы,6729.47,119,3565.11
Прикладная статистика для бизнеса для образовательной платформы,11448.83,57,2308.89
Создание дизайна интерфейсов для логистической компании,3005.05,14,870.37
Разработка фронтенда и бэкенда для DApps в сфере E-commerce,50503.44,404,23988.9
Разработка облачного SaaS продукта для финансового сектора,45256.7,277,15415.0
Создание интерактивных приложений на Unity с фокусом на безопасность,60872.18,394,18117.24
Разработка игр на Unity для конечных пользователей,46872.97,285,24381.24
Оптимизация реляционных СУБД с расширенным функционалом,19481.63,100,7722.07
Проектирование и разработка веб-платформы для финансового сектора,30355.51,289,17449.91
Обслуживание серверов и сетевого оборудования для образовательной платформы,5237.04,18,1102.94
Разработка решений на основе обработки естественного языка (NLP) с фокусом на безопасность,87504.48,430,30102.58
Разработка пользовательского интерфейса (UI) для стартапа,1840.06,57,469.93
Проведение статистического анализа данных с использованием микросервисной архитектуры,12562.36,48,5684.39
Оценка зрелости IT-инфраструктуры для стартапа,3153.58,39,778.87
Миграция данных в SQL базы с учетом масштабируемости,14700.7,84,5449.8
Разработка пайплайнов обработки данных с применением облачных технологий,13306.49,234,4941.81
Разработка пользовательского интерфейса (UI) для финансового сектора,2292.08,42,1182.35
Настройка межсетевых экранов и систем обнаружения вторжений для внутреннего использования,14262.96,95,4085.71
Базовая IT-поддержка пользователей для стартапа,3846.48,23,741.86
Создание AAA-проектов на Unreal Engine для малого и среднего бизнеса,58816.54,594,18119.19
Подбор IT-персонала для проекта для крупной корпорации,19283.62,315,2883.24
Миграция в GCP для медицинской организации,22785.81,112,5562.31
Оптимизация реляционных СУБД для крупной корпорации,17078.28,163,3970.95
Внедрение CRM-системы с использованием микросервисной архитектуры,48694.51,225,18837.15
Аутсорсинг разработки для логистической компании,27922.79,353,10630.85
Построение хранилищ больших данных с применением облачных технологий,37505.3,546,8408.64
Оказание технической поддержки первой линии для образовательной платформы,2999.96,13,1267.92
Разработка React Native приложения с нуля для внутреннего использования,25013.08,125,11715.69
Настройка ETL-процессов для интеграции данных для логистической компании,30956.26,236,7665.98
Построение хранилищ больших данных для финансового сектора,80334.32,300,20922.4
Оптимизация рабочих потоков с применением облачных технологий,12986.62,126,4086.5
Создание кроссплатформенного приложения (Flutter) для конечных пользователей,51612.77,143,27027.44
Создание мультиарендной SaaS платформы с фокусом на безопасность,39371.47,116,7949.22
Разработка sentiment analysis моделей для стартапа,57783.39,139,14666.57
Внедрение корпоративной аналитики с учетом масштабируемости,9179.18,49,3775.85
Разработка децентрализованных приложений (DApps) с расширенным функционалом,116759.74,469,15624.3
Создание iOS приложения под ключ для конечных пользователей,10278.22,218,2250.83
Создание кроссплатформенного приложения (React Native) с использованием микросервисной архитектуры,19633.25,134,5871.18
Управление облачной инфраструктурой в AWS на основе анализа требований,35656.06,95,19246.02
Оказание технической поддержки первой линии с фокусом на безопасность,2685.01,27,1246.51
Разработка B2B/B2C E-commerce решения с использованием микросервисной архитектуры,33311.1,385,17778.02
Создание фулстек решения для крупной корпорации,31369.45,248,10353.73
Прикладная статистика для бизнеса для логистической компании,17540.62,100,4637.01
Создание облачной платформы для IoT с использованием микросервисной архитектуры,33328.01,294,5081.04
Разработка бэкенда для управления IoT-устройствами для внутреннего использования,54048.14,400,8993.24
Разработка мобильного приложения на Flutter с использованием микросервисной архитектуры,14265.68,370,4167.82
Внедрение алгоритмов распознавания образов для образовательной платформы,88688.65,417,44101.54
Настройка и оптимизация GCP с фокусом на безопасность,12452.56,192,2681.88
Создание AAA-проектов на Unreal Engine с учетом масштабируемости,58912.36,160,35166.37
Проведение аудита IT-безопасности для крупной корпорации,12697.23,101,2604.23
Внедрение CI/CD с фокусом на безопасность,12714.94,144,4709.35
Разработка децентрализованных приложений (DApps) для внутреннего использования,71673.78,104,20933.59
Миграция данных в SQL базы с учетом масштабируемости,6199.22,77,2962.69
Предоставление выделенной команды разработчиков с фокусом на безопасность,16184.63,67,8694.46
Разработка инфраструктуры для Big Data с фокусом на безопасность,89270.01,159,38707.11
Оценка уровня защищенности систем для внутреннего использования,15776.16,117,8698.24
Проектирование и разработка SaaS решения для логистической компании,79061.58,459,25932.41
Стратегический IT-консалтинг для финансового сектора,5007.45,106,1153.36
Приемочное тестирование для финансового сектора,4183.83,13,789.34
Автоматизация DevOps процессов для образовательной платформы,5933.63,51,910.25
Разработка sentiment analysis моделей на основе анализа требований,67392.78,396,28871.01
Управление облачной инфраструктурой в Azure для образовательной платформы,18817.8,81,2724.99
Оптимизация IT-процессов с фокусом на безопасность,1663.29,12,485.63
Проведение аналитики больших данных для стартапа,58568.14,435,20276.54
Создание нереляционных хранилищ данных для стартапа,10237.33,192,3136.2
Создание решений для анализа изображений и видео для внутреннего использования,77459.04,71,16141.63
Разработка высокопроизводительного iOS приложения в сфере E-commerce,29250.07,399,12766.84
Разработка IT-стратегии с фокусом на безопасность,19485.43,117,7651.18
Приемочное тестирование для малого и среднего бизнеса,5277.02,35,3113.48
Разработка стратегии автоматизации инфраструктуры для образовательной платформы,10945.97,170,5813.15
Создание AAA-проектов на Unreal Engine с расширенным функционалом,11152.11,332,5128.25
Внедрение автоматизированного тестирования ПО для конечных пользователей,17767.39,61,10167.85
Создание iOS приложения под ключ для внутреннего использования,41017.52,359,14607.21
Создание клиентской части веб-приложения для крупной корпорации,27630.59,241,9817.79
Разработка смарт-контрактов на Solidity для стартапа,44245.49,378,11463.04
Построение прогнозных моделей для крупной корпорации,74359.01,346,29841.37
Проведение аудита IT-безопасности для стартапа,3553.85,112,1192.18
Проектирование и разработка SQL баз данных с расширенным функционалом,22661.62,82,12532.28
Разработка мобильного приложения на React Native с применением облачных технологий,36165.04,90,3637.97
Разработка Firmware для микроконтроллеров для образовательной платформы,32931.28,176,19019.35
Разработка игр на Unreal Engine для конечных пользователей,25973.29,465,6951.1
Разработка стратегии автоматизации инфраструктуры для логистической компании,29605.16,115,15892.13
Разработка серверной части веб-приложения в сфере E-commerce,10042.98,50,2098.16
Разработка 2D/3D игр на Unity для медицинской организации,10708.0,366,1697.27
Оптимизация рабочих потоков для логистической компании,17852.63,243,5880.04
Разработка высокопроизводительного Android приложения для внутреннего использования,56005.24,121,9920.37
Разработка тестовых сценариев и фреймворков на основе анализа требований,6469.64,65,1092.56
Проектирование и разработка веб-платформы с расширенным функционалом,39308.89,159,4335.75
Создание мультиарендной SaaS платформы для стартапа,95684.49,292,56865.92
Создание клиентской части веб-приложения с учетом масштабируемости,19956.08,133,10078.73
Разработка нативного iOS приложения для малого и среднего бизнеса,57740.98,130,28741.17
Прикладная статистика для бизнеса для малого и среднего бизнеса,11574.74,142,1796.08
Создание интерфейсов взаимодействия для логистической компании,25535.37,41,5414.6
Разработка смарт-контрактов на Solidity для внутреннего использования,69542.47,269,21704.82
Настройка и оптимизация Azure с использованием микросервисной архитектуры,8884.66,122,4040.46
Создание мультиарендной SaaS платформы для медицинской организации,52885.83,390,21752.85
Миграция данных в SQL базы для стартапа,14070.22,64,7412.65
Создание кроссплатформенного приложения (Flutter) с расширенным функционалом,51126.61,325,7769.22
Разработка серверной части для IoT-решений с использованием микросервисной архитектуры,10630.3,321,2857.42
Внедрение Bitrix24 с учетом масштабируемости,32087.52,189,11419.47
Автоматизация бизнес-процессов для стартапа,34410.11,253,13081.99
Разработка нативного iOS приложения для крупной корпорации,57190.35,195,32967.2
Настройка и оптимизация GCP с фокусом на безопасность,36231.37,186,12331.68
Внедрение алгоритмов распознавания образов для образовательной платформы,76703.65,481,36166.35
Архитектура облачных решений на AWS с учетом масштабируемости,30793.71,106,7639.4
Управление облачной инфраструктурой в Azure с использованием микросервисной архитектуры,34185.22,177,6803.17
Извлечение ценной информации из Big Data с расширенным функционалом,52794.71,87,31310.51
Разработка высококачественной графики на Unreal Engine для образовательной платформы,63266.49,121,25367.25
Разработка Firmware для микроконтроллеров для конечных пользователей,40327.71,216,4140.08
Проектирование UI для образовательной платформы,8153.39,19,2212.75
Создание чат-ботов и систем анализа текста для финансового сектора,30293.59,468,3798.44
Разработка облачного SaaS продукта для образовательной платформы,44824.0,212,24173.06
Оптимизация IT-процессов с учетом масштабируемости,6035.62,22,822.8
Масштабирование NoSQL баз данных на основе анализа требований,16791.12,204,7367.17
Внедрение CI/CD для финансового сектора,7919.42,66,1956.88
Создание AAA-проектов на Unreal Engine с фокусом на безопасность,45082.95,254,8949.4
Приемочное тестирование для образовательной платформы,7406.91,59,3163.14
Проведение аналитики больших данных с расширенным функционалом,71359.92,420,40547.16
Прикладная статистика для бизнеса в сфере E-commerce,17701.6,85,4231.72
Backend разработка на основе анализа требований,12263.19,102,5242.06
Внедрение корпоративной аналитики для крупной корпорации,17471.21,79,3242.46
Создание интерфейсов взаимодействия для конечных пользователей,4366.07,109,1434.44
Архитектура облачных решений на GCP с расширенным функционалом,21461.17,80,2916.86
Извлечение ценной информации из Big Data в сфере E-commerce,48384.62,404,23436.23
Создание конвейеров обработки Big Data для логистической компании,106192.16,497,34408.32
Разработка React Native приложения с нуля для логистической компании,45401.87,142,16040.14
Разработка моделей классификации и регрессии с применением облачных технологий,67067.56,354,18778.7
Миграция в GCP с расширенным функционалом,7666.11,90,3588.33
Создание клиентской части веб-приложения для конечных пользователей,26886.21,78,14174.57
Оптимизация рабочих потоков для крупной корпорации,30843.74,113,3682.65
Разработка нативного Android приложения с использованием микросервисной архитектуры,17555.85,211,7206.09
Предоставление команды IT-специалистов с использованием микросервисной архитектуры,12039.85,105,1977.29
UX-исследование и проектирование для медицинской организации,8746.19,29,1751.57
Проектирование и разработка SaaS решения для стартапа,30030.68,123,5013.01
Внедрение BPM-систем с использованием микросервисной архитектуры,9673.28,191,4387.72
Интеграция ERP с другими системами с применением облачных технологий,53550.66,671,28573.13
Разработка пайплайнов обработки данных для медицинской организации,32637.92,122,6609.03
Создание Android приложения под ключ для внутреннего использования,53293.54,132,21209.16
Обслуживание серверов и сетевого оборудования с фокусом на безопасность,1823.09,27,921.31
Миграция в GCP для стартапа,13216.58,30,2637.51
Масштабирование NoSQL баз данных для образовательной платформы,10224.31,44,3841.34
Анализ уязвимостей веб-приложений с применением облачных технологий,31367.16,150,17417.26
Построение хранилищ больших данных для стартапа,98136.59,508,16348.41
Создание облачной платформы для IoT с учетом масштабируемости,35638.79,85,13737.02
Создание интерфейсов взаимодействия для стартапа,19484.9,60,9808.02
Разработка 2D/3D игр на Unity для логистической компании,18505.31,120,7275.49
Интеграция ERP с другими системами для малого и среднего бизнеса,121352.22,211,12609.89
Создание Android приложения под ключ для конечных пользователей,52866.22,45,20268.37
Тестирование на проникновение с расширенным функционалом,11177.75,156,3413.6
Создание iOS приложения под ключ с применением облачных технологий,32186.45,297,18419.65
Создание интерактивных приложений на Unity для крупной корпорации,9038.07,468,4324.57
Настройка ETL-процессов для интеграции данных для внутреннего использования,12837.32,86,6796.41
Разработка облачного SaaS продукта для финансового сектора,103937.38,421,27645.18
Разработка мобильного приложения на Flutter в сфере E-commerce,60877.97,350,25756.66
Проектирование и разработка веб-платформы для внутреннего использования,7927.14,160,1833.16
Разработка высокопроизводительного Android приложения в сфере E-commerce,6585.08,257,2894.55
Внедрение AmoCRM для логистической компании,57664.15,126,14582.41
Разработка серверной части для IoT-решений для логистической компании,17861.08,311,8873.4
Приемочное тестирование для финансового сектора,4514.38,42,1689.63
Построение прогнозных моделей с расширенным функционалом,76122.08,482,38303.58
Программирование встраиваемых систем для IoT для образовательной платформы,27526.62,273,3702.22
Настройка и адаптация CRM для отдела продаж для внутреннего использования,55260.47,58,22986.11
Внедрение CI/CD с расширенным функционалом,28032.43,146,15760.22
Оценка зрелости IT-инфраструктуры для образовательной платформы,5060.9,57,1278.84
Извлечение ценной информации из Big Data с учетом масштабируемости,27205.66,314,4126.06
Разработка 2D/3D игр на Unity для логистической компании,31873.63,474,6309.73
Экспертная IT-поддержка и решение инцидентов для малого и среднего бизнеса,3552.76,27,1142.63
Внедрение автоматизированного тестирования ПО для внутреннего использования,13476.61,35,4753.92
Внедрение CI/CD для внутреннего использования,9229.11,52,4047.01
Создание пользовательских интерфейсов для DApps для образовательной платформы,90557.26,428,33881.97
Проведение аналитики больших данных в сфере E-commerce,21608.47,351,6315.5
Внедрение BPM-систем для конечных пользователей,23663.25,51,4383.16
Автоматизация DevOps процессов для конечных пользователей,34527.34,71,15894.53
Создание нереляционных хранилищ данных на основе анализа требований,14158.77,70,7445.69
Оказание технической поддержки первой линии с использованием микросервисной архитектуры,2910.93,6,542.39
Подбор IT-персонала для проекта для медицинской организации,29545.18,254,6770.17
Миграция в AWS с фокусом на безопасность,19447.42,138,9660.88
Создание клиентской части веб-приложения для малого и среднего бизнеса,14558.25,195,5576.5
Разработка решений на основе обработки естественного языка (NLP) для конечных пользователей,12740.59,179,1517.22
Оценка уровня защищенности систем для медицинской организации,6906.1,48,3426.55
Разработка пользовательского опыта (UX) для образовательной платформы,10985.81,61,6409.76
Создание бэкенда с расширенным функционалом,4577.7,333,1392.6
Оптимизация реляционных СУБД для крупной корпорации,24836.64,88,12243.15
Создание кроссплатформенного приложения (Flutter) для медицинской организации,23938.71,121,13639.69
Разработка моделей классификации и регрессии для конечных пользователей,72861.35,74,19363.76
Создание Android приложения под ключ с использованием микросервисной архитектуры,15994.72,79,8684.09
Оказание технической поддержки второй и третьей линии для образовательной платформы,2859.38,37,1511.43
Автоматизация DevOps процессов в сфере E-commerce,14976.12,33,7832.73
Проектирование UI для малого и среднего бизнеса,9884.72,39,5155.63
Разработка дашбордов и отчетов для внутреннего использования,4270.17,51,2102.96
Оптимизация IT-процессов на основе анализа требований,5909.36,26,3097.18
Разработка пользовательского интерфейса для крупной корпорации,22343.29,131,2260.51
Проектирование и разработка SaaS решения для конечных пользователей,61607.7,263,24344.35
Проектирование UI с фокусом на безопасность,4383.02,19,1855.06
Проведение аналитики больших данных для внутреннего использования,64845.75,109,36677.84
Консультации по цифровой трансформации с применением облачных технологий,7197.15,46,1198.25
Создание пользовательских интерфейсов для DApps с фокусом на безопасность,64380.1,128,6707.56
Архитектура облачных решений на GCP на основе анализа требований,12768.49,126,6910.3
Создание интернет-магазина с нуля с фокусом на безопасность,86693.66,395,12336.85
Тестирование на проникновение с учетом масштабируемости,17220.18,66,5512.4
Внедрение комплексных систем безопасности для малого и среднего бизнеса,18809.78,109,3671.65
Проведение аналитики больших данных с учетом масштабируемости,50516.66,176,9965.94
Настройка и адаптация корпоративной ERP в сфере E-commerce,68657.0,571,28589.01
Разработка React Native приложения с нуля с расширенным функционалом,58058.3,148,31741.92
Проведение аналитики больших данных с учетом масштабируемости,27323.49,231,12712.53
Разработка игр на Unity в сфере E-commerce,20995.23,471,6217.73
Развертывание решений по киберзащите с учетом масштабируемости,23105.4,122,12928.92
Внедрение 1C:ERP с применением облачных технологий,134244.38,243,64115.86
Разработка высокопроизводительного iOS приложения с применением облачных технологий,37918.76,79,10114.9
Разработка 2D/3D игр на Unity в сфере E-commerce,67110.99,389,29134.65
Аутсорсинг разработки для логистической компании,45510.75,246,24422.04
UX-исследование и проектирование для медицинской организации,5546.9,82,1591.0
Создание фулстек решения с учетом масштабируемости,25283.54,168,14028.53
Проведение ручного тестирования ПО с учетом масштабируемости,4355.84,28,1375.52
Оказание технической поддержки первой линии с использованием микросервисной архитектуры,775.49,6,151.99
