Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Предоставление выделенной команды разработчиков для внутреннего использования,28787.39,294,9911.1
Проведение аналитики больших данных для малого и среднего бизнеса,65243.08,171,13318.7
Извлечение ценной информации из Big Data для внутреннего использования,21722.31,103,7460.56
Разработка серверной части веб-приложения для логистической компании,24923.41,137,5594.64
Создание облачной платформы для IoT с расширенным функционалом,38091.46,149,19790.3
Анализ уязвимостей веб-приложений с использованием микросервисной архитектуры,24266.33,104,12789.99
Backend разработка для малого и среднего бизнеса,23540.33,120,3820.16
Создание интернет-магазина с нуля с учетом масштабируемости,76122.67,570,22692.69
Аудит соответствия стандартам безопасности с фокусом на безопасность,13665.73,96,2138.5
Разработка пользовательского интерфейса с расширенным функционалом,19242.54,94,2513.02
Создание мультиарендной SaaS платформы на основе анализа требований,53677.85,348,30264.97
Оптимизация реляционных СУБД с использованием микросервисной архитектуры,5777.27,130,2773.88
Функциональное тестирование программных продуктов для финансового сектора,5422.64,52,1473.09
Создание интерактивных приложений на Unity на основе анализа требований,35782.48,278,11076.41
Разработка серверной части веб-приложения с расширенным функционалом,13462.64,73,5744.78
Разработка тестовых сценариев и фреймворков для конечных пользователей,11167.55,78,4392.43
Анализ и интерпретация данных для принятия решений для крупной корпорации,12878.23,31,1450.12
Внедрение AmoCRM для крупной корпорации,25544.1,50,2795.95
Автоматизация DevOps процессов для конечных пользователей,15829.38,23,3871.85
Создание пользовательских интерфейсов для DApps с применением облачных технологий,105358.79,314,11320.07
Разработка прошивок и ПО для IoT-устройств для финансового сектора,47433.75,132,12822.44
Разработка аналитических моделей для Big Data для логистической компании,49059.35,404,16888.73
Базовая IT-поддержка пользователей в сфере E-commerce,3331.0,8,1420.4
Аудит соответствия стандартам безопасности для медицинской организации,22840.61,127,12749.12
Проектирование и разработка SQL баз данных в сфере E-commerce,3791.21,165,892.82
Приемочное тестирование для финансового сектора,3193.52,32,1457.02
Приемочное тестирование с расширенным функционалом,7984.43,27,3625.49
Разработка дашбордов и отчетов для медицинской организации,5605.53,93,3153.99
Архитектура облачных решений на GCP с фокусом на безопасность,16604.01,44,2111.5
Frontend разработка в сфере E-commerce,21962.82,186,8429.46
Разработка нативного iOS приложения для малого и среднего бизнеса,54406.75,197,5785.56
Разработка веб-приложения полного цикла для финансового сектора,41912.28,390,22954.16
Развертывание решений по киберзащите для медицинской организации,29536.32,191,8628.97
Разработка Firmware для микроконтроллеров для логистической компании,32891.11,99,19712.77
Создание интернет-магазина с нуля для образовательной платформы,17889.57,575,5395.58
Настройка и оптимизация GCP с учетом масштабируемости,22213.15,104,2264.69
Базовая IT-поддержка пользователей для образовательной платформы,612.21,11,124.86
Настройка и адаптация корпоративной ERP для конечных пользователей,134128.25,366,45755.69
